accession	classification	samplingFrame	paper	length
AY184220	Sabin2	Sabin 2	Mutations in Sabin 2 strain of poliovirus and stability ofattenuation phenotype 	747
JX275140	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	747
JX275032	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	747
JX275071	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	747
DQ890386	VDPV	AFP	Isolation of recombinant type 2 vaccine-derived poliovirus (VDPV)from a Nigerian child 	746
AF448783	cVDPV	AFP	Circulation of endemic type 2 vaccine-derived poliovirus in Egyptfrom 1983 to 1993 	740
KX162714	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	746
KF322158	cVDPV	AFP	Evolution and Circulation of Type-2 Vaccine-Derived Polioviruses inNad Ali District of Southern Afghanistan during June 2009-February 2011 	747
KF322157	cVDPV	AFP	Evolution and Circulation of Type-2 Vaccine-Derived Polioviruses inNad Ali District of Southern Afghanistan during June 2009-February 2011 	747
AY948201	VDPV	AFP	Characterization of a rare natural intertypic type 2/type 3 penta-recombinant vaccine-derived poliovirus isolated from a childwith acute flaccid paralysis 	747
L76412	wild	AFP	Genetic diversity and rapid evolution of poliovirus in human hosts	746
KX162716	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	747
KX162707	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	747
KX162690	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	741
KX162686	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	741
KX162685	SabinLike	AFP	High-Throughput Next Generation Sequencing of Polioviruses	741
KU372652	VDPV	environmental	Molecular and Phenotypic Characterization of a Highly Evolved Type 2 Vaccine-Derived Poliovirus Isolated from Seawater in Brazil, 2014	735
KM433732	SabinLike	AFP-CSF	Complete genome sequence analysis of a poliovirus type 2 strainisolated in Yunnan, China, in 2013 	747
KR259357	VDPV	AFP	Vaccine-Derived Polioviruses Not Detected by Global SurveillanceScreening Assay 	747
KR259356	VDPV	AFP	Vaccine-Derived Polioviruses Not Detected by Global SurveillanceScreening Assay 	747
KP196613	VDPV	AFP	The Genetic Character Analysis of Type 2 Vaccine-derived Poliovirusin Shanxi Province in 2014 	747
KJ419277	cVDPV	healthy	Limited and localized outbreak of newly emergent type 2vaccine-derived poliovirus in sichuan, china 	747
